timestamp x_R[0] x_R[1] x_R[2] y_R[0] y_R[1] y_R[2] h_R[0] h_R[1] h_R[2] vn[0] vn[1] vn[2] ve[0] ve[1] ve[2] vd[0] vd[1] vd[2]
25244000 54.2935 83.6029 0 29.6925 -8.5763 0 42.304 53.301 0 6.63 2.48 0 -8.57 -10.68 0 5.49 -0.31 0
25264000 54.4047 83.6474 87.5395 29.5566 -8.74239 -76.7639 -47.045 53.298 51.404 6.62 2.46 0.13 -8.55 -10.7 -13.55 5.44 -0.32 0.06
25284000 54.5604 83.703 87.5395 29.3452 -8.99907 -76.9828 -46.911 -36.158 -38.039 6.61 2.42 0.13 -8.53 -10.73 -13.55 5.37 -0.33 0.06
25304000 54.6716 83.7364 87.5506 29.2018 -9.16516 -77.3075 -46.823 -36.162 -38.037 6.61 2.4 0.13 -8.53 -10.75 -13.55 5.32 -0.34 0.06
25324000 54.8272 83.7919 87.5506 28.9904 -9.42185 -77.5264 -46.688 -36.169 -38.036 6.69 2.36 0.13 -8.58 -10.77 -13.55 5.33 -0.34 0.07
25340000 55.0051 83.8364 87.5506 28.7715 -9.59549 -77.8586 -46.546 -36.174 -38.031 6.78 2.34 0.13 -8.64 -10.79 -13.58 5.42 -0.38 0.02
25364000 55.1163 83.8364 87.5506 28.6205 -9.59549 -77.8586 -46.451 -36.174 -38.031 6.83 2.34 0.13 -8.68 -10.79 -13.58 5.49 -0.38 0.02
25384000 55.2275 83.9254 87.5506 28.477 -10.0258 -78.4097 -46.355 -36.189 -38.026 6.89 2.4 0.15 -8.71 -11.16 -13.89 5.57 -0.42 -0.02
25404000 55.4054 83.981 87.5617 28.2581 -10.2976 -78.6362 -46.209 -36.198 -38.024 6.96 2.44 0.16 -8.77 -11.43 -14.03 5.68 -0.4 -0
25424000 55.5166 83.981 87.5617 28.1071 -10.2976 -78.6362 -46.11 -36.198 -38.024 7.01 2.44 0.16 -8.81 -11.43 -14.03 5.75 -0.4 -0
25440000 55.6945 84.081 87.5618 27.8882 -10.7581 -79.2175 -45.961 -36.21 -38.015 7.08 2.5 0.18 -8.87 -11.86 -14.34 5.85 -0.29 0.21
25464000 55.8168 84.081 87.5729 27.7372 -10.7581 -79.5648 -45.86 -36.21 -38.005 7.13 2.5 0.19 -8.91 -11.86 -14.5 5.92 -0.29 0.4
25480000 55.9947 84.1811 87.5729 27.5182 -11.2186 -79.7988 -45.708 -36.211 -37.996 7.19 2.56 0.19 -8.96 -12.25 -14.6 6.02 -0.08 0.55
25504000 56.1059 84.2145 87.5729 27.3673 -11.4074 -80.1537 -45.605 -36.209 -37.977 7.23 2.58 0.2 -9 -12.39 -14.74 6.08 0.02 0.82
25524000 56.2838 84.2701 87.5729 27.1408 -11.6943 -80.3952 -45.45 -36.203 -37.961 7.28 2.61 0.21 -9.06 -12.59 -14.81 6.17 0.22 1.01
25540000 56.4061 84.3145 87.584 26.9898 -11.8906 -80.7576 -45.345 -36.196 -37.931 7.32 2.63 0.21 -9.1 -12.72 -14.91 6.24 0.37 1.34
25564000 56.584 84.3701 87.584 26.7708 -12.1925 -80.7576 -45.187 -36.181 -37.931 7.37 2.66 0.21 -9.16 -12.88 -14.91 6.32 0.65 1.34
25584000 56.7063 84.3701 87.584 26.6198 -12.1925 -80.9992 -45.081 -36.181 -37.907 7.4 2.66 0.22 -9.19 -12.88 -14.97 6.38 0.65 1.58
25604000 56.8842 84.4146 87.5951 26.3858 -12.3888 -81.6032 -44.92 -36.167 -37.828 7.45 2.67 0.22 -9.25 -12.99 -15.05 6.46 0.85 2.23
25624000 57.0065 84.5147 87.5951 26.2348 -12.9022 -81.9656 -44.811 -36.118 -37.768 7.48 2.7 0.22 -9.28 -13.19 -15.07 6.52 1.42 2.65
25644000 57.1955 84.5814 87.5951 26.0083 -13.2117 -81.9656 -44.648 -36.077 -37.768 7.53 2.72 0.22 -9.34 -13.28 -15.07 6.6 1.81 2.65
25664000 57.3178 84.5814 87.6063 25.8573 -13.2117 -82.2071 -44.538 -36.077 -37.722 7.56 2.72 0.22 -9.37 -13.28 -15.07 6.65 1.81 2.95
25680000 57.4958 84.6815 87.6063 25.6233 -13.7402 -82.5695 -44.371 -35.988 -37.645 7.6 2.73 0.22 -9.43 -13.37 -15.05 6.72 2.51 3.39
25704000 57.6181 84.6815 87.6174 25.4723 -13.7402 -83.181 -44.26 -35.988 -37.494 7.63 2.73 0.22 -9.46 -13.37 -15 6.77 2.51 4.07
25724000 57.8071 84.7815 87.6174 25.2383 -14.2611 -83.4226 -44.091 -35.871 -37.426 7.67 2.73 0.21 -9.51 -13.39 -14.97 6.83 3.24 4.32
25744000 57.9961 84.826 87.6285 25.0118 -14.4725 -83.7775 -43.92 -35.816 -37.329 7.7 2.73 0.21 -9.54 -13.38 -14.93 6.9 3.54 4.68
25764000 58.1184 84.826 87.6285 24.8532 -14.4725 -84.019 -43.806 -35.816 -37.263 7.71 2.73 0.21 -9.56 -13.38 -14.89 6.94 3.54 4.9
25784000 58.3074 84.8927 87.6285 24.6267 -14.7896 -84.019 -43.633 -35.725 -37.263 7.74 2.74 0.21 -9.57 -13.35 -14.89 7 3.95 4.9
25804000 58.4297 84.9928 87.6285 24.4682 -15.3181 -84.6155 -43.518 -35.552 -37.081 7.75 2.79 0.21 -9.57 -13.26 -14.81 7.05 4.59 5.4
25824000 58.5632 84.9928 87.6285 24.3172 -15.3181 -84.6155 -43.401 -35.552 -37.081 7.77 2.79 0.21 -9.57 -13.26 -14.81 7.09 4.59 5.4
25844000 58.7411 85.104 87.6397 24.0832 -15.8465 -84.9703 -43.226 -35.36 -36.961 7.8 2.87 0.21 -9.56 -13.15 -14.74 7.16 5.16 5.68
25864000 58.9301 85.104 87.6397 23.8567 -15.8465 -85.2043 -43.049 -35.36 -36.877 7.84 2.87 0.23 -9.54 -13.15 -14.69 7.22 5.16 5.85
